SymbolSet,Entity,EntityType,EntitySubType,StandardIdentity,Code,GeometryType,IconType,UniqueName
27,Unspecified,,,,000000,NotValid,NA,Unspecified
27,Military,Service Branch,Infantry,,110101,Point,FULL_OCTAGON,Military : Service Branch : Infantry
27,Military,Service Branch,Medical,,110102,Point,FULL_OCTAGON,Military : Service Branch : Medical
27,Military,Service Branch,Reconnaissance,,110103,Point,FULL_OCTAGON,Military : Service Branch : Reconnaissance
27,Military,Service Branch,Signal,,110104,Point,FULL_OCTAGON,Military : Service Branch : Signal
27,Military,Activity/Task,Explosive Ordnance Disposal,,110201,Point,MAIN,Military : Activity/Task : Explosive Ordnance Disposal
27,Military,Activity/Task,Field Artillery Observer,,110202,Point,MAIN,Military : Activity/Task : Field Artillery Observer
27,Military,Activity/Task,Joint Fire Support,,110203,Point,MAIN,Military : Activity/Task : Joint Fire Support
27,Military,Activity/Task,Liaison,,110204,Point,MAIN,Military : Activity/Task : Liaison
27,Military,Activity/Task,Messenger,,110205,Point,MAIN,Military : Activity/Task : Messenger
27,Military,Activity/Task,Military Police,,110206,Point,MAIN,Military : Activity/Task : Military Police
27,Military,Activity/Task,Observer,,110207,Point,MAIN,Military : Activity/Task : Observer
27,Military,Activity/Task,Security,,110208,Point,MAIN,Military : Activity/Task : Security
27,Military,Activity/Task,Sniper,,110209,Point,MAIN,Military : Activity/Task : Sniper
27,Military,Activity/Task,Special Operations Forces (SOF),,110210,Point,MAIN,Military : Activity/Task : Special Operations Forces (SOF)
27,Military,Lethal Weapons,Rifle,,110301,Point,MAIN,Military : Lethal Weapons : Rifle
27,Military,Lethal Weapons,Single-Shot Rifle,,110302,Point,MAIN,Military : Lethal Weapons : Single-Shot Rifle
27,Military,Lethal Weapons,Semiautomatic Rifle,,110303,Point,MAIN,Military : Lethal Weapons : Semiautomatic Rifle
27,Military,Lethal Weapons,Automatic Rifle,,110304,Point,MAIN,Military : Lethal Weapons : Automatic Rifle
27,Military,Lethal Weapons,Machine Gun,,110305,Point,MAIN,Military : Lethal Weapons : Machine Gun
27,Military,Lethal Weapons,Machine Gun-Light,,110306,Point,MAIN,Military : Lethal Weapons : Machine Gun-Light
27,Military,Lethal Weapons,Machine Gun-Medium,,110307,Point,MAIN,Military : Lethal Weapons : Machine Gun-Medium
27,Military,Lethal Weapons,Machine Gun-Heavy,,110308,Point,MAIN,Military : Lethal Weapons : Machine Gun-Heavy
27,Military,Lethal Weapons,Grenade Launcher,,110309,Point,MAIN,Military : Lethal Weapons : Grenade Launcher
27,Military,Lethal Weapons,Grenade Launcher-Light,,110310,Point,MAIN,Military : Lethal Weapons : Grenade Launcher-Light
27,Military,Lethal Weapons,Grenade Launcher-Medium,,110311,Point,MAIN,Military : Lethal Weapons : Grenade Launcher-Medium
27,Military,Lethal Weapons,Grenade Launcher-Heavy,,110312,Point,MAIN,Military : Lethal Weapons : Grenade Launcher-Heavy
27,Military,Lethal Weapons,Flamethrower,,110313,Point,MAIN,Military : Lethal Weapons : Flamethrower
27,Military,Lethal Weapons,Mortar,,110314,Point,MAIN,Military : Lethal Weapons : Mortar
27,Military,Lethal Weapons,Rocket Launcher-Single,,110315,Point,MAIN,Military : Lethal Weapons : Rocket Launcher-Single
27,Military,Lethal Weapons,Rocket Launcher-Antitank,,110316,Point,MAIN,Military : Lethal Weapons : Rocket Launcher-Antitank
27,Military,Non-Lethal Weapons,Non-Lethal Weapon,,110401,Point,MAIN,Military : Non-Lethal Weapons : Non-Lethal Weapon
27,Military,Non-Lethal Weapons,Non-Lethal Grenade Launcher,,110402,Point,MAIN,Military : Non-Lethal Weapons : Non-Lethal Grenade Launcher
27,Military,Non-Lethal Weapons,Taser,,110403,Point,MAIN,Military : Non-Lethal Weapons : Taser
27,Civilian,,,,120000,Point,NA,Civilian
27,Civilian,Activity,,,120100,Point,NA,Civilian : Activity
27,Civilian,Activity,Police,,120101,Point,MAIN,Civilian : Activity : Police
