Code,Value
00,Unknown
01,Air
02,Air Missile
05,Space
06,Space Missile
10,Land Units
11,Land Civilian
15,Land Equipment
20,Land Installation
25,Control Measure
30,Sea Surface
35,Sea Subsurface
36,Mine Warfare
40,Activities
45,Meteorological - Atmospheric
46,Meteorological - Oceanographic
47,Meteorological - Space
50,Signals Intelligence - Space
51,Signals Intelligence - Air
52,Signals Intelligence - Land
53,Signals Intelligence - Surface
54,Signals Intelligence - Subsurface
60,Cyberspace
98,Internal
-1,NotSet
